name,tvl,fees_24h,fees_7d,fees_30d,revenue_24h,revenue_7d,volume_24h,volume_7d,mcap/tvl
Uniswap,5501000000,2020000.0,12250000.0,74880000.0,0.0,0.0,1342000000.0,8204000000.0,1.01
PancakeSwap,2840000000,850708.0,7430000.0,30880000.0,216546.0,2029999.0,590680000.0,4528000000.0,0.24
Curve DEX,1896000000,151163.0,1200000.0,6300000.0,21008.0,133404.0,225670000.0,1452000000.0,
Balancer,1006000000,30266.0,353402.0,1600000.0,15169.0,91248.0,50610000.0,371990000.0,0.2
Raydium,840280000,675723.0,4220000.0,24830000.0,81087.0,506599.0,268050000.0,1706000000.0,0.52
Aerodrome,663080000,170038.0,1060000.0,6950000.0,170038.0,1060000.0,88560000.0,575120000.0,0.76
SUN,559850000,,,,,,12730000.0,170270000.0,0.23
Thruster,383850000,,,,,,,,
iZiSwap,377210000,,,,,,6350000.0,44990000.0,
Sanctum Infinity,359430000,,,,,,,,
Thorchain,348010000,83439.0,683911.0,2850000.0,83439.0,683911.0,175240000.0,1410000000.0,6.03
Sushi,310800000,50787.0,375402.0,1800000.0,7578.0,58582.0,20100000.0,140810000.0,0.71
PulseX,286940000,,,,,,10460000.0,76370000.0,
VVS Finance,253750000,46243.0,342361.0,1680000.0,15414.0,114120.0,15300000.0,117540000.0,0.71
Orca,226110000,,,,,,370290000.0,2045999999.0,0.5
Katana DEX,177340000,,,,,,3610000.0,25380000.0,
Meteora,168460000,,,,,,220970000.0,1082000000.0,0.0
Velodrome,149710000,356282.0,504893.0,1390000.0,356282.0,504893.0,70380000.0,226660000.0,0.61
Osmosis DEX,136600000,16954.0,104245.0,635956.0,0.0,0.0,22140000.0,140030000.0,4.05
Trader Joe,135410000,87269.0,645576.0,3510000.0,10404.0,75169.0,44550000.0,378440000.0,1.2
STON.fi,131330000,,,,,,,,
Cetus,130789999,,,,,,35480000.0,167040000.0,0.23
Loopring,106700000,,,,,,,,3.03
Quickswap,106640000,26869.0,174136.0,1290000.0,0.0,0.0,4550000.0,205690000.0,0.36
Chainge Finance,102900000,,,,,,,,0.61
Ambient,101630000,,,,,,15030000.0,91370000.0,
SaucerSwap,101130000,,,,,,3880000.0,20950000.0,0.68
Camelot,99920000,42680.0,297205.0,2029999.0,10549.0,76946.0,32049999.0,241900000.0,0.2
MerlinSwap,95530000,,,,,,898198.0,9100000.0,
Ref Finance,76660000,,,,,,7740000.0,40160000.0,0.16
SyncSwap,72770000,,,,,,7250000.0,50810000.0,
Minswap,69750000,,,,,,3960000.0,21100000.0,0.43
Merchant Moe,69750000,6309.0,58584.0,167930.0,418.0,4474.0,5580000.0,57930000.0,0.09
ALEX,64099999,,,,,,,,2.26
Frax Swap,58840000,3220.0,29521.0,176693.0,0.0,0.0,1070000.0,9830000.0,
ThalaSwap,57200000,,,,,,1390000.0,9160000.0,0.59
